time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_z,ori_y,ori_x,q,p1,p2,p3,A0,A1,A2
1589995990.7719831,-3.82,-0.94,8.88,0.3,-0.32,-0.5933333333333334,0.001090830782496456,0.002181661564992912,0.002181661564992912,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.3379095440748334,0.39510843012815433,0.1322913115063521
1589995990.7818265,-3.82,-0.97,8.9,0.3,-0.32,-0.5933333333333334,-0.0032724923474893677,0.0,0.0,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.33136596019053416,0.35199575785121906,0.1431782449240873
1589995990.7890162,-3.83,-0.97,8.95,0.3,-0.32,-0.5933333333333334,-0.0032724923474893677,0.001090830782496456,0.0,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.33136596019053416,0.35199575785121906,0.1431782449240873
1589995990.8002405,-3.81,-0.99,9.01,0.30666666666666664,-0.3322222222222222,-0.6222222222222222,0.001090830782496456,-0.002181661564992912,0.0,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.27340573595297823,0.3723890828255631,0.1431782449240873
1589995990.8061495,-3.83,-0.96,8.99,0.30666666666666664,-0.3322222222222222,-0.6222222222222222,-0.001090830782496456,0.001090830782496456,-0.0032724923474893677,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.27340573595297823,0.3723890828255631,0.14410679330355178
1589995990.818951,-3.82,-0.93,8.9,0.30666666666666664,-0.3322222222222222,-0.6222222222222222,0.001090830782496456,-0.001090830782496456,-0.001090830782496456,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.34469892955945086,0.3834344053953583,0.1436411163746438
1589995990.8255966,-3.81,-0.94,8.93,0.30666666666666664,-0.3322222222222222,-0.6222222222222222,0.001090830782496456,0.0,0.001090830782496456,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.34469892955945086,0.3834344053953583,0.1436411163746438
1589995990.8386972,-3.82,-0.94,8.97,0.30666666666666664,-0.3322222222222222,-0.6222222222222222,0.002181661564992912,-0.001090830782496456,0.0,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.26040171388951255,0.3982094308317678,0.1436411163746438
1589995990.8461704,-3.79,-0.95,9.01,0.3,-0.3244444444444444,-0.6,0.001090830782496456,-0.002181661564992912,0.001090830782496456,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.26040171388951255,0.3982094308317678,0.14410679330355178
1589995990.8571744,-3.83,-0.94,9.01,0.3,-0.3244444444444444,-0.6,0.001090830782496456,0.001090830782496456,0.0,3.247403239491949,-0.3981532356112064,0.11453723216212788,-0.05224609375,0.20098876953125,0.04327392578125,-0.97723388671875,0.33136596019053416,0.45321431320689676,0.1436411163746438
