time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_z,ori_y,ori_x,q,p1,p2,p3,A0,A1,A2
1589543509.6445398,0.02,-4.21,8.91,0.5188888888888888,0.3322222222222222,-0.6888888888888889,-0.001090830782496456,-0.001090830782496456,0.0,4.6185775330899945,0.0032724923474893677,0.4254240051736178,0.6583251953125,-0.14117431640625,-0.157470703125,0.722412109375,0.3227201175914994,0.37769476929769935,0.1375336592135079
1589543509.656305,0.02,-4.18,8.84,0.5188888888888888,0.3322222222222222,-0.6888888888888889,-0.001090830782496456,0.0032724923474893677,-0.001090830782496456,4.6185775330899945,0.0032724923474893677,0.4254240051736178,0.6583251953125,-0.1412353515625,-0.15753173828125,0.722412109375,0.34953162930465587,0.3805443575158459,0.13630270789356194
1589543509.6633873,-0.16,-4.07,8.42,0.5188888888888888,0.3322222222222222,-0.6888888888888889,-0.01308996938995747,-0.009817477042468103,-0.001090830782496456,4.6185775330899945,0.0032724923474893677,0.4265148359561142,0.65826416015625,-0.14129638671875,-0.1575927734375,0.722412109375,0.34953162930465587,0.3805443575158459,0.13630270789356194
1589543509.6751456,0.24,-4.4,9.24,0.5188888888888888,0.3322222222222222,-0.6888888888888889,-0.028361600344907853,-0.04145156973486533,-0.004363323129985824,4.6185775330899945,0.0032724923474893677,0.4265148359561142,0.65826416015625,-0.14129638671875,-0.1578369140625,0.722412109375,0.27496052092173096,0.37769476929769935,0.13630270789356194
1589543509.691207,-0.2,-4.04,8.4,0.5188888888888888,0.3322222222222222,-0.6888888888888889,0.031634092692397225,0.05126904677733343,0.001090830782496456,4.6185775330899945,0.002181661564992912,0.4265148359561142,0.65826416015625,-0.14141845703125,-0.1575927734375,0.72235107421875,0.34953162930465587,0.3834344053953583,0.13630270789356194
1589543509.697532,0.08,-4.28,8.94,0.4988888888888889,0.3244444444444444,-0.6755555555555556,-0.017453292519943295,-0.004363323129985824,0.0,4.6185775330899945,0.002181661564992912,0.4265148359561142,0.65826416015625,-0.14154052734375,-0.15771484375,0.72235107421875,0.34953162930465587,0.3834344053953583,0.13630270789356194
1589543509.704076,0.09,-4.27,9.01,0.4988888888888889,0.3244444444444444,-0.6755555555555556,-0.014180800172453926,-0.014180800172453926,-0.001090830782496456,4.6185775330899945,0.0032724923474893677,0.4265148359561142,0.65826416015625,-0.14154052734375,-0.1578369140625,0.72235107421875,0.34953162930465587,0.3834344053953583,0.13630270789356194
1589543509.716092,-0.02,-4.23,8.63,0.4988888888888889,0.3244444444444444,-0.6755555555555556,-0.008726646259971648,-0.016362461737446838,-0.002181661564992912,4.6185775330899945,0.0032724923474893677,0.4265148359561142,0.658203125,-0.14154052734375,-0.157958984375,0.72235107421875,0.2876789338815911,0.3834344053953583,0.13588300621652982
1589543509.7277894,-0.11,-4.11,8.57,0.4988888888888889,0.3244444444444444,-0.6755555555555556,0.019634954084936207,0.02181661564992912,0.001090830782496456,4.6185775330899945,0.002181661564992912,0.4265148359561142,0.658203125,-0.1416015625,-0.1578369140625,0.72235107421875,0.3379095440748334,0.3642899190747107,0.13426900825530252
1589543509.7359347,0.06,-4.25,8.83,0.4988888888888889,0.3244444444444444,-0.6755555555555556,-0.01090830782496456,-0.002181661564992912,-0.001090830782496456,4.6185775330899945,0.002181661564992912,0.4265148359561142,0.658203125,-0.1417236328125,-0.15789794921875,0.7222900390625,0.3379095440748334,0.3642899190747107,0.13426900825530252
